Line    1 | modem 1760932567     | 00000000
Line   27 | modem 1760932580     | 11111111 11111111 00001010 01000000 00000000 00000000 00000000 00000000 00000000 11110101 00000000 00000000 00111111 11010001 00000001
Line   28 | modem 1760932581     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line   29 | machine 1760932581   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   30 | modem 1760932581     | 11111111 11111111 00100101 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000010 00000000 00000001 01011001 01110001 01000101 01010110 01010011 01010100 01010010 01001111 00000001 10011100 00100001 11000100 01000100 00001000 00110111 00000011 01110000 10111011 11100100 11101111 01010000 10001010 10000110 11000001 10110000 00001101 11010001 10000101
Line   31 | machine 1760932581   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   32 | machine 1760932582   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
Line   33 | machine 1760932582   | 11111111 11111111 01000011 01000000 00000000 00000000 00000000 00000000 00000000 00000110 01101101 00000001 00000001 00110000 00110000 00000011 00000000 00000000 00000000 00100000 00000100 00000011 00000101 00000001 00000000 00000001 00000010 00110000 00000000 00000000 00000000 00000000 00001010 00001111 00001000 00010100 00000101 00000101 00000110 00000101 00000100 00011010 00000100 00011010 00000100 00011010 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000001 00000000 01100001 11001000 10100101
Line   34 | modem 1760932582     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   35 | modem 1760932585     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line   36 | machine 1760932585   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   37 | modem 1760932586     | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00001001 01010001 01100100 10000000
Line   38 | machine 1760932586   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   39 | modem 1760932587     | 11111111 11111111 00100000 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00010000 00000000 01101000 11110101 10110010 11101011 00000111 11101001 00001010 00010100 00001011 00111000 00011011 00000010 00000000 00001000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 11110001 10010010 00010011
Line   40 | machine 1760932587   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   41 | modem 1760932589     | 11111111 11111111 00011001 01000000 00000000 00000000 00000000 00000000 00000000 00010001 00000000 11110000 00111000 00110110 00110010 00111000 00110001 00110111 00110000 00110110 00111000 00110011 00110110 00110111 00111001 00110100 00111001 01111110 11001100 10000001
Line   42 | machine 1760932589   | 11111111 11111111 00001000 01000000 00000000 00000000 00000000 00000000 00000000 00000101 01001101 01100001 10000000
Line   43 | modem 1760932598     | 11111111 11111111 00100010 01000000 00000000 00000000 00000000 00000000 00000000 11110111 00000001 00000011 00000001 00001000 00000000 00000001 00000000 00000000 00000000 00000000 00000011 00000000 00000010 00000110 00000001 00000000 00000001 00000000 00000010 00000000 00000011 00000100 00000000 00000010 00011011 00000000 10011010 00100010 11100001
